Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,cpu_brand,cpu_series,touch,is_new,has_discrete_gpu,price_per_ram_gb,price_per_storage_gb,price_tier,ram_tier
"ASUS ExpertBook B1 B1502CBA-EJ0436X Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,ASUS,ExpertBook,Intel Core i5,8,512,SSD,Integrated,15.6,No,1009.0,Intel,Core i5,0,1,0,126.12,1.9707,High-end,Low (<=8GB)
"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/15.6""",New,Alurin,Go,Intel Celeron,8,256,SSD,Integrated,15.6,No,299.0,Intel,Celeron,0,1,0,37.38,1.168,Budget,Low (<=8GB)
"ASUS ExpertBook B1 B1502CBA-EJ0424X Intel Core i3-1215U/8GB/256GB SSD/15.6""",New,ASUS,ExpertBook,Intel Core i3,8,256,SSD,Integrated,15.6,No,789.0,Intel,Core i3,0,1,0,98.62,3.082,Mid-range,Low (<=8GB)
"MSI Katana GF66 12UC-082XES Intel Core i7-12700H/16GB/1TB SSD/RTX3050/15.6""",New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 3050,15.6,No,1199.0,Intel,Core i7,0,1,1,74.94,1.199,High-end,Mid (16GB)
"HP 15S-FQ5085NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,HP,15S,Intel Core i5,16,512,SSD,Integrated,15.6,No,669.01,Intel,Core i5,0,1,0,41.81,1.3067,Mid-range,Mid (16GB)
"MSI Crosshair 17 C12VF-264XES Intel Core i7-12650H/32GB/1TB SSD/RTX 4060/17.3""",New,MSI,Crosshair,Intel Core i7,32,1000,SSD,RTX 4060,17.3,No,1699.0,Intel,Core i7,0,1,1,53.09,1.699,Premium,High (32GB)
"Lenovo Thinkpad E14 Gen 4 AMD Ryzen 5 5625U/8GB/256GB SSD/14""",New,Lenovo,ThinkPad,AMD Ryzen 5,8,256,SSD,Integrated,14.0,No,909.0,AMD,Ryzen 5,0,1,0,113.62,3.5508,Mid-range,Low (<=8GB)
"ASUS VivoBook 15 F515JA-EJ2882W Intel Core i7-1065G7/8GB/512GB SSD/15.6""",New,ASUS,VivoBook,Intel Core i7,8,512,SSD,Integrated,15.6,No,809.01,Intel,Core i7,0,1,0,101.13,1.5801,Mid-range,Low (<=8GB)
"Medion Akoya E15415 Intel Core i5-10210U/8GB/256GB SSD/15.6""",New,Medion,Akoya,Intel Core i5,8,256,SSD,Integrated,15.6,No,519.0,Intel,Core i5,0,1,0,64.88,2.0273,Mid-range,Low (<=8GB)
"HP Victus 16-d1038ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,Victus,Intel Core i7,16,512,SSD,RTX 3050,16.1,No,1149.0,Intel,Core i7,0,1,1,71.81,2.2441,High-end,Mid (16GB)
"Lenovo V15 IGL Intel Celeron N4020/8GB/256 GB SSD/15.6""",New,Lenovo,V15,Intel Celeron,8,256,SSD,Integrated,15.6,No,349.0,Intel,Celeron,0,1,0,43.62,1.3633,Budget,Low (<=8GB)
"MSI Thin GF63 12VE-021XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4050/15.6""",New,MSI,Thin,Intel Core i7,16,1000,SSD,RTX 4050,15.6,No,1399.0,Intel,Core i7,0,1,1,87.44,1.399,High-end,Mid (16GB)
